en,fa
"Now, all of you Tamers can use Auto Pick-up.",اکنون، همه شما رام‌کنندگان می‌توانید از برداشت خودکار استفاده کنید.
"In the depths of despair, I feel hot, burning anger.",در اعماق ناامیدی، احساس خشم داغ و سوزان می کنم.
Immediately get 900,فورا 900 بگیرید
"Thanks to Kuzmara, I returned alive, but...",به لطف کوزمارا، من زنده برگشتم، اما...
Check {@yellow}Adventure battle results at once{@default}!,نتایج نبرد ماجرا {@yellow} را یکباره بررسی کنید {@default}!
Talissah,طلیسه
Talissah (Fire),طلیسه (آتش)
Talissah (Fire) Relationship Point,نقطه ارتباط طلیسه (آتش).
Increases Talissah's outgoing damage by {1}%.,خسارت خروجی Talissah را تا {1}٪ افزایش می دهد.
Passive 3,منفعل 3
Flare,شعله ور شدن
Flare decreases [Supernova] cooldown by {1} seconds.,شعله ور شدن [Supernova] را {1} ثانیه کاهش می دهد.
Flare+,Flare+
Damage +20%,خسارت +20%
Damage +30%,خسارت +30%
Damage +40%,خسارت +40%
Damage +50%,خسارت +50%
Damage +12%,خسارت +12%
Damage +4%,خسارت +4%
Damage +6%,خسارت +6%
Damage +8%,خسارت +8%
Get 3 stars on this stage to Sweep it.,در این مرحله 3 ستاره بگیرید تا آن را جارو کنید.
3 stars required.,3 ستاره مورد نیاز است.
"Explodes the planet's energy, attacking enemies. This attack is delivered at {1}% higher ATK.",انرژی سیاره را منفجر می کند و به دشمنان حمله می کند. این حمله با ATK {1}% بالاتر ارائه می‌شود.
Obtained resources will be displayed in a combined amount.,منابع به دست آمده به صورت ترکیبی نمایش داده می شود.
Mythic Dragon\nRate UP,اژدها اسطوره‌ای \nبه بالاترین امتیاز دهید
Mythic\nRate UP,افسانه\nبه بالا رتبه دهید
Next Mythic dragon: {1},اژدهای اسطوره‌ای بعدی: {1}
"Here comes {@yellow}Talissah{@default}, the Wrath of the Universe!",اینجا {@yellow} Talissah {@default}، خشم جهان می آید!
I'll destroy Nidhogg and avenge my star.,من نیدهاگ را نابود می کنم و انتقام ستاره ام را می گیرم.
Flare decreases [Supernova] cooldown by {1}% for {1} seconds.,شعله ور شدن [Supernova] را تا {1}% برای {1} ثانیه کاهش می دهد.
Randomly attacks {1} targets and surrounding enemies at regular intervals.\nAdditionally inflicts {2} times the damage on Boss monsters. Activated at the beginning of a battle.,به طور تصادفی به {1} اهداف و دشمنان اطراف در فواصل زمانی معین حمله می کند.\nعلاوه بر این، {2} برابر بیشتر به هیولاهای Boss آسیب وارد می کند. در ابتدای نبرد فعال می شود.
Subjugation Period: 8/16 00:00 ~ 8/22 23:59,دوره انقیاد: 8/16 00:00 ~ 8/22 23:59
Subjugation Period: 10/11 00:00 ~ 10/17 23:59,دوره انقیاد: 10/11 00:00 ~ 10/17 23:59
Download Now,اکنون بارگیری کن
Dragon Village W\\nUpdate!,Dragon Village W\\nبه‌روزرسانی!
"New Dragon Village\nReleased on September 1, 2021",New Dragon Village\nدر 1 سپتامبر 2021 منتشر شد
Used for Mythic Dragon’s Skill Level-up,برای ارتقاء سطح مهارت Mythic Dragon استفاده می شود
Summon x100,احضار x100
10 Advanced Summon Ticket,10 بلیط احضار پیشرفته
Summon x10,x10 را احضار کنید
Summon x1,احضار x1
4th Anniversary Pack,بسته چهارمین سالگرد
4th Anniversary Check-in Event,رویداد ورود به جلسه چهارمین سالگرد
{1} {@default}Guaranteed Summon,{1} {@default} احضار تضمینی
{@yellow}{2}{@default} times left until the Guaranteed Summon of {1},{@yellow} {2} {@default} بار تا فراخوان تضمین شده {1} باقی مانده است
A ticket that enables 10 Advanced Summons to get {@YELLOW}Grade 3 - 6 dragons{@DEFAULT}.,بلیتی که 10 فراخوان پیشرفته را قادر می‌سازد تا {@YELLOW} درجه 3 - 6 اژدها{@DEFAULT} را دریافت کنند.
A ticket that enables 10 Seere Rate-up Summons to get {@YELLOW}Grade 3 - 6 dragons{@DEFAULT}.,بلیتی که 10 احضار رتبه‌بندی ببینید را قادر می‌سازد تا {@YELLOW} درجه 3 - 6 اژدها{@DEFAULT} را دریافت کنند.
It's up to you to decide how you want to use your power.,این شما هستید که تصمیم می گیرید چگونه می خواهید از قدرت خود استفاده کنید.
Dogged Determination,قاطعیت
Advanced Summon x100,Advanced Summon x100
Advanced Summon and Rate-up Advanced Summon share their Summon count.,Advanced Summon و Rate-up Advanced Summon تعداد احضار خود را به اشتراک می گذارند.
That's our noble duty as the Fighters of Light.,این وظیفه شریف ما به عنوان مبارزان سبک است.
Summon Again,دوباره احضار کن
I don't like any of you.,من هیچ کدومتون رو دوست ندارم
"Everyone, please help me!",همه لطفا به من کمک کنید!
All for one!,همه برای یکی!
"All for one, and one for all!",همه برای یکی و یکی برای همه!
"Instead of complaining about not getting enough, why don't you try getting some results?",به جای گله و شکایت از عدم دریافت کافی، چرا سعی نمی کنید به برخی نتایج برسید؟
I've received some funds for our Fighters of Light activities.,من مقداری بودجه برای فعالیت های Fighters of سبک خود دریافت کرده ام.
The Fighters of Light are ready!,مبارزان سبک آماده هستند!
"Fighters of Light, combine your forces!",مبارزان سبک، نیروهای خود را ترکیب کنید!
Seere Rate-up x10 Summon Ticket,بلیط احضار ببینید Rate-up x10
Seere (Dark),ببینید (تاریک)
Seere (Dark) Relationship Point,نقطه رابطه ببینید (تاریک).
Sweeping...,وسیع...
"Summon 1,000 times to get a Rate-up Mythic dragon upon the next Guaranteed Summon.",1000 بار احضار کنید تا در احضار تضمین شده بعدی، یک اژدهای افسانه‌ای با امتیاز بالا دریافت کنید.
Divine Malice,بدخواهی الهی
A mysterious slime that can be used for Mythic dragon skill level-up.,یک اسلایم اسرارآمیز که می تواند برای ارتقاء سطح مهارت اژدهای افسانه ای استفاده شود.
Your Summon count will be reset upon summoning a Mythic dragon.,تعداد احضار شما با احضار یک اژدهای افسانه ای بازنشانی می شود.
Mythic Skill Slime,اسطوره مهارت اسلایم
Mythic Rate-up Summon,احضار نرخ افسانه ای
"If an ally uses a Drag skill that cost 1 mana, randomly attacks enemies with a 50% chance of decreasing their CRIT Rate for 8 seconds.\nThis attack targets with [Flame Mark] before the others and inflicts triple damage on them.",اگر متحدی از مهارت Drag استفاده کند که 1 مانا هزینه دارد، به‌طور تصادفی به دشمنان حمله می‌کند و به‌مدت 8 ثانیه با احتمال 50 درصد کاهش CRIT Rate آنها را کاهش می‌دهد.\nاین حمله با [Flame Mark] قبل از دیگران هدف قرار می‌گیرد و به آنها آسیب سه‌گانه وارد می‌کند.
"If an ally uses a Drag skill, randomly attacks enemies with a {1}% chance of decreasing their CRIT Rate for {2} seconds.\nThis attack targets with [Flame Mark] before the others and inflicts X{3} damage.",اگر متحدی از مهارت کشیدن استفاده کند، به‌طور تصادفی به دشمنان حمله می‌کند با احتمال {1} درصد کاهش نرخ CRIT آنها برای {2} ثانیه.\nاین حمله با [Flame Mark] قبل از دیگران هدف قرار می‌گیرد و به X {3} آسیب وارد می‌کند.
Fighting evil to the death.,مبارزه با شر تا سر حد مرگ.
"Once an evil dragon, he was brought back to life by Dersa as a Fighter of Light. His power is evil in nature, but the clothes of light he wears transforms it, reinforcing its intensity.",زمانی که یک اژدهای شیطانی بود، توسط درسا به عنوان یک مبارز سبک به زندگی بازگردانده شد. قدرت او ذاتا شیطانی است، اما لباس نورانی که می پوشد آن را دگرگون می کند و شدت آن را تقویت می کند.
Evil Spell,طلسم شیطانی
Do you need a lesson?,آیا به درس نیاز دارید؟
"It'll all be fine as long as we accomplish our mission, right?",تا زمانی که ما ماموریت خود را انجام دهیم، همه چیز خوب خواهد بود، درست است؟
Need Enchant Stones? Go to the Colosseum.,آیا به سنگ افسون نیاز دارید؟ به کولوسئوم بروید.
Monthly Pack (September),بسته ماهانه (شهریور)
Bah... This is annoying!,باه... این آزار دهنده است!
This is your share.,این سهم شماست
Why don't you start working now?,چرا الان شروع به کار نمی کنی؟
"Periodically gains {1} Mana.\nAlso, creates a {2}% chance of gaining 1 more Mana or increasing Critical DMG for {3} allies for {4} seconds.",به‌طور دوره‌ای {1} مانا به دست می‌آورد.\nهمچنین، شانس {2}٪ برای به دست آوردن 1 Mana دیگر یا افزایش DMG بحرانی برای متحدان {3} برای {4} ثانیه ایجاد می‌کند.
Focus on your mission!,روی ماموریت خود تمرکز !
"Attacks enemies, leaving Flame Marks on them for {1} sec.\n[Flame Mark]: Increases its target's incoming damage by {2}%.",به دشمنان حمله می کند و علامت های شعله برای {1} ثانیه روی آنها باقی می ماند. \n[علامت شعله]: آسیب ورودی هدف خود را تا {2}٪ افزایش می دهد.
